ID,URL,Title,Difficulty,Acceptance %,Frequency %
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,93.8%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,81.6%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.8%,81.6%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,77.3%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,77.3%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,30.4%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,71.9%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,65.1%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,65.1%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,65.1%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.4%,65.1%
570,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Managers with at Least 5 Direct Reports,Medium,49.0%,65.1%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,62.5%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,77.1%,62.5%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,62.5%
584,https://leetcode.com/problems/find-customer-referee,Find Customer Referee,Easy,71.7%,62.5%
1148,https://leetcode.com/problems/article-views-i,Article Views I,Easy,77.1%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,55.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,55.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,55.5%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,55.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,55.5%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.5%,55.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,55.5%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.2%,55.5%
177,https://leetcode.com/problems/nth-highest-salary,Nth Highest Salary,Medium,39.1%,55.5%
197,https://leetcode.com/problems/rising-temperature,Rising Temperature,Easy,51.2%,55.5%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,55.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,55.5%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,60.3%,55.5%
485,https://leetcode.com/problems/max-consecutive-ones,Max Consecutive Ones,Easy,65.0%,55.5%
493,https://leetcode.com/problems/reverse-pairs,Reverse Pairs,Hard,34.1%,55.5%
2388,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Change Null Values in a Table to the Previous Value,Medium,51.4%,55.5%
2594,https://leetcode.com/problems/minimum-time-to-repair-cars,Minimum Time to Repair Cars,Medium,59.6%,55.5%
3703,https://leetcode.com/problems/remove-k-balanced-substrings,Remove K-Balanced Substrings,Medium,32.6%,55.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.1%,54.4%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.2%,54.4%
183,https://leetcode.com/problems/customers-who-never-order,Customers Who Never Order,Easy,71.8%,54.4%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.9%,54.4%
